task,category,times_logged,avg_aversion,avg_relief,last_logged,version,task_id,name,description,type,created_at,is_recurring,categories,default_estimate_minutes
,,,,,,1,t1763738425,Task aversion project,work on features and setup scaffold of AI recommendation,project,2025-11-21 09:20,True,[],180.0
,,,,,,1,t1763843570,Coursera,,recurring,2025-11-22 14:32,True,[],60.0
,,,,,,1,t1763858825,Workout,,recurring,2025-11-22 18:47,True,[],15.0
,,,,,,1,t1763901178,Shower,,routine,2025-11-23 06:32,True,[],10.0
,,,,,,1,t1763901292,Cleaning,,one-time,2025-11-23 06:34,False,[],0.0
,,,,,,1,t1763901339,Clean Kitchen,,routine,2025-11-23 06:35,True,"[""Dread""]",30.0
,,,,,,1,t1764204134,strategy brainstorm,Strategize for Agentic workloads,one-time,2025-11-26 18:42,False,"[""excited""]",60
,,,,,,1,t1764322772,Task Aversion project,streamlining,one-time,2025-11-28 03:39,False,[],30
,,,,,,1,t1764331828,Laundry,,routine,2025-11-28 06:10,True,"[""bored""]",10
,,,,,,1,t1764333152,devtest,,one-time,2025-11-28 06:32,False,[],0
